user_id,begin_date,end_date,time_grid,ratio
35,2009-02-09,2009-04-27,1872,43
30,2009-01-13,2009-07-29,4752,30
3,2008-10-23,2009-07-05,6144,28
4,2008-10-23,2009-07-29,6720,28
57,2007-07-31,2007-08-10,264,26
94,2007-07-31,2007-08-10,264,26
150,2007-07-31,2007-08-10,264,26
157,2007-07-31,2007-08-10,264,23
39,2009-02-11,2009-07-15,3720,23
64,2008-08-15,2008-08-31,408,23
7,2008-10-25,2008-12-15,1248,22
1,2008-10-23,2008-12-15,1296,21
105,2007-10-02,2007-10-10,216,20
61,2007-07-31,2007-08-10,264,19
9,2008-10-24,2008-12-14,1248,19
14,2008-10-20,2009-04-17,4320,18
68,2008-09-14,2009-09-13,8760,17
24,2008-12-16,2009-05-26,3888,17
19,2008-11-07,2008-12-14,912,17
119,2008-07-28,2008-10-06,1704,17
88,2008-09-26,2008-10-12,408,16
70,2008-09-27,2008-10-07,264,16
18,2008-11-04,2008-12-15,1008,16
16,2008-10-25,2008-12-16,1272,16
50,2009-06-04,2009-08-26,2016,16
38,2009-02-06,2009-07-23,4032,15
103,2008-08-27,2008-09-20,600,15
33,2008-12-18,2009-01-19,792,13
11,2008-09-26,2008-12-14,1920,13
76,2007-04-16,2007-04-24,216,12
154,2007-04-30,2007-05-21,528,12
47,2007-08-01,2007-08-09,216,12
0,2008-10-23,2009-07-05,6144,12
27,2009-01-13,2009-01-24,288,12
8,2008-10-24,2008-12-12,1200,12
169,2010-05-10,2010-06-04,624,11
34,2009-02-12,2009-07-27,3984,11
36,2009-02-01,2009-07-10,3840,11
37,2009-01-20,2009-07-30,4608,11
13,2008-09-27,2009-03-05,3840,10
98,2007-05-26,2007-06-04,240,10
113,2010-05-10,2010-06-03,600,10
5,2008-10-24,2009-03-19,3528,10
6,2008-10-23,2008-12-11,1200,9
112,2008-01-24,2008-07-18,4248,9
85,2008-02-13,2009-09-28,14256,9
159,2012-03-29,2012-05-08,984,9
96,2008-07-10,2008-12-11,3720,9
26,2009-01-13,2009-04-18,2304,9
179,2008-08-20,2008-11-29,2448,9
165,2011-10-18,2011-11-21,840,8
135,2008-12-24,2009-01-27,840,8
147,2011-02-24,2011-05-19,2040,7
136,2008-05-09,2008-06-02,600,7
15,2008-10-20,2009-03-04,3264,7
79,2010-05-24,2010-06-16,576,7
73,2008-05-19,2008-09-01,2544,7
29,2009-01-13,2009-03-21,1632,6
44,2009-02-03,2009-07-14,3888,6
51,2007-11-30,2008-04-30,3672,6
104,2007-11-30,2008-10-12,7632,6
161,2007-04-12,2007-04-28,408,6
141,2011-08-29,2011-10-23,1344,6
43,2009-02-07,2009-06-24,3312,6
78,2008-04-29,2008-08-29,2952,6
40,2009-02-09,2009-05-16,2328,6
67,2010-08-12,2011-06-26,7656,6
54,2009-06-20,2009-06-29,240,6
155,2009-05-16,2009-08-05,1968,6
32,2008-12-02,2009-01-22,1248,6
75,2011-08-03,2011-10-01,1440,6
80,2007-06-27,2007-07-06,240,6
125,2008-05-09,2008-10-12,3768,6
31,2009-01-23,2009-02-06,360,5
81,2008-05-09,2008-07-30,1992,5
138,2007-05-23,2007-06-27,864,5
100,2011-07-29,2011-08-09,288,4
101,2007-11-30,2008-06-30,5136,4
158,2009-01-16,2009-03-04,1152,4
131,2009-04-17,2009-08-02,2592,4
173,2007-11-30,2007-12-16,408,3
130,2009-07-06,2009-10-12,2376,3
174,2007-11-29,2008-08-15,6264,3
74,2011-09-26,2012-05-02,5280,3
129,2008-05-01,2008-06-27,1392,3
102,2011-10-17,2011-12-31,1824,3
63,2010-11-26,2011-02-08,1800,3
66,2009-05-08,2009-10-08,3696,3
93,2008-07-14,2008-08-29,1128,3
97,2007-04-12,2007-06-25,1800,3
69,2008-04-30,2008-06-27,1416,3
122,2009-05-16,2009-10-05,3432,3
110,2007-11-30,2008-03-20,2688,3
145,2008-04-29,2008-07-03,1584,2
180,2009-04-15,2009-05-30,1104,2
134,2007-04-24,2008-02-05,6912,2
181,2007-12-07,2008-03-14,2376,2
95,2010-12-06,2011-05-29,4200,2
148,2011-05-14,2011-07-10,1392,2
133,2010-11-27,2011-04-21,3504,1
65,2009-08-04,2011-10-27,19560,1
56,2007-10-10,2008-05-16,5280,1
170,2008-04-28,2008-05-21,576,1
46,2009-10-04,2010-06-02,5808,1
45,2010-06-26,2010-10-08,2520,1
59,2011-03-09,2011-08-30,4200,1
114,2007-10-19,2010-06-09,23160,0
58,2007-05-09,2011-08-30,37800,0
55,2007-07-31,2011-10-01,36576,0
